TransactionAmount,TransactionFrequency,AccountBalance,Liabilities,Equity,BusinessCategory,Location,Month,Profit
19039.735882944442,47,487340.66802772763,59295.68460883474,428044.9834188929,Manufacturing,Suburban,10,51131.52070289398
47560.35816729085,12,19812.914403653987,30272.126983111182,-10459.212579457195,Retail,Suburban,7,2086.3807151530636
36733.70011966455,16,371218.31025354913,136841.10512581017,234377.20512773897,Manufacturing,Rural,1,36564.00896954149
30133.59496775331,24,386613.90434636915,189076.54954582587,197537.35480054328,Service,Suburban,10,41129.02394707962
8222.922701900607,19,129391.79087129465,57448.76616110026,71943.02471019438,Manufacturing,Urban,9,14695.11855096382
8221.728756642031,8,339063.63737038826,97704.28853076437,241359.34883962388,Service,Suburban,4,20547.22517176818
3375.1388023258733,31,55535.280745901066,128696.24924368484,-73160.96849778378,Manufacturing,Suburban,3,796.0008945726248
43375.71921585929,21,135953.16055171913,199895.91840204797,-63942.75785032884,Manufacturing,Suburban,4,10679.8144052284
30255.193081288835,17,396071.97426320985,25437.572674526564,370634.4015886833,Retail,Rural,4,38017.77040522517
35549.59260090425,23,433696.2340964347,102221.30590361329,331474.92819282145,Manufacturing,Urban,10,47043.58311365418
1518.9324676422211,37,308158.34220329777,80098.42338098751,228059.91882231025,Retail,Suburban,11,24656.010300855214
48510.537682018716,16,258350.83159203647,173834.93221835926,84515.89937367721,Retail,Rural,2,24417.77389149194
41705.91071962088,6,88058.97010330035,97813.7075472729,-9754.737443972554,Retail,Suburban,12,12876.619369024169
11010.78597857467,8,40923.42620878358,26640.61729410388,14282.808914679703,Retail,Urban,1,1833.0462973806752
9500.33587675148,25,67648.02395204373,128712.7083308838,-61064.68437884007,Manufacturing,Suburban,12,2707.9133233432945
9578.523237744974,18,121405.0770470884,155302.22056145655,-33897.143514368145,Service,Urban,10,3324.476876035338
15559.991026497117,25,177420.50592949122,5561.844074794845,171858.66185469637,Service,Suburban,12,17883.649291396094
26475.443365795774,12,196645.66750038374,172496.55365702277,24149.113843360974,Service,Urban,1,21299.476586824032
21881.27842278473,15,179697.66660861173,41274.4850011048,138423.18160750694,Manufacturing,Suburban,8,25755.656277264265
14915.842439803075,26,127137.11277666014,112653.52610740869,14483.586669251454,Retail,Urban,2,1520.9322245430703
30786.718288757784,41,259764.8809083321,86080.51263405278,173684.36827427932,Service,Suburban,12,31565.17033611489
7404.946102276071,45,414390.19303411944,145332.49423905343,269057.698795066,Manufacturing,Suburban,10,42646.33883504501
14961.160102493299,26,147054.73385102482,77376.51488321966,69678.21896780517,Retail,Rural,5,21615.76374845804
18634.91124303774,47,471769.6393600942,174603.8194529336,297165.8199071606,Service,Rural,12,44775.653841395884
23075.46421874328,32,437934.9642446854,147446.7903869641,290488.1738577213,Retail,Urban,4,35749.26046014951
39366.210088954176,10,89264.46356253371,131304.0683572697,-42039.60479473598,Service,Suburban,8,13384.389157918393
10383.852216838806,16,395275.2188109763,160266.91613475658,235008.30267621973,Service,Urban,2,29244.684741647987
25954.604701473774,7,291547.8173357056,152034.49181103456,139513.32552467106,Service,Rural,10,25029.15225253032
29824.5211586711,17,287621.9274639951,12008.041609702901,275613.8858542922,Retail,Urban,9,36042.10568287268
2799.2954296398875,23,201610.95389850548,81973.1989997415,119637.75489876399,Manufacturing,Urban,7,12598.497792697755
30573.4701691212,26,255564.96959918475,186507.42297671552,69057.54662246924,Retail,Rural,7,16613.81831131802
8940.94412252093,21,204617.60094031342,29516.232453484114,175101.3684868293,Service,Suburban,1,23103.003888315438
3720.053852771336,22,274468.98319237196,148733.82733425,125735.15585812196,Retail,Urban,12,30090.33874464054
47469.834094039994,7,317695.52585859154,195045.40321038928,122650.12264820226,Manufacturing,Rural,2,37727.42089654501
48298.78563719069,14,340408.8651404337,15178.732663769468,325230.13247666426,Retail,Suburban,4,46477.63793354351
40515.668731764825,15,270915.78435411886,138027.80672218904,132887.97763192983,Manufacturing,Rural,4,33189.24902360406
15578.381574081848,7,363496.81299107854,96290.05755370093,267206.7554373776,Manufacturing,Urban,11,37839.45222214876
5334.769643316002,9,79226.24414499784,117939.17479807082,-38712.93065307298,Retail,Suburban,3,5342.120750306408
34369.53481235177,48,113871.42054209688,21641.560614443344,92229.85992765354,Service,Suburban,7,21672.06018395111
22287.548440110266,8,411180.15199639235,13386.355614053198,397793.79638233915,Manufacturing,Rural,12,38064.39164668852
6540.892624816552,23,168038.70914474345,135038.99880742974,32999.71033731371,Retail,Rural,8,12357.525996280732
25011.257050507873,29,21217.97423829892,165545.33881503998,-144327.36457674106,Manufacturing,Rural,2,-1557.9591380397487
2202.231795203311,18,85357.66333733524,157492.99031192862,-72135.32697459338,Service,Suburban,4,1496.0773329005717
45511.35990289971,31,119571.07290319251,111042.11693391629,8528.955969276227,Retail,Suburban,3,13200.412350469434
13309.609089200838,30,479088.21506834775,24474.030121554744,454614.184946793,Retail,Urban,2,51949.48104246837
33294.85307552211,39,290790.3001761162,139168.66654802268,151621.6336280935,Retail,Suburban,12,24689.92725687687
15929.698266425843,35,467038.0628333649,52168.33229305846,414869.7305403064,Service,Urban,6,44612.05467500856
26243.367048301636,18,291830.0417433462,182658.3970396398,109171.6447037064,Manufacturing,Rural,4,22029.358163752455
27562.15882749234,42,244883.67566754736,168461.74511141246,76421.9305561349,Retail,Rural,6,25897.44526303193
9650.295548513588,39,163726.56868510705,143329.67858204123,20396.890103065816,Manufacturing,Suburban,2,11077.614533065393
48494.439074345646,17,307121.762772354,190024.96138707042,117096.80138528359,Manufacturing,Rural,12,28605.65432376719
38869.07475637517,14,78207.03206258961,11127.25519469822,67079.7768678914,Service,Rural,4,13171.006922718181
47005.19760742736,31,450148.19737342594,148559.0828868486,301589.11448657734,Retail,Suburban,11,47007.30819788767
44793.95384616862,24,416372.878519229,69397.34197059904,346975.53654863,Manufacturing,Urban,6,55237.086116975945
30096.048951148714,35,165590.40945960116,181682.84770884123,-16092.438249240076,Retail,Suburban,5,7311.506669014439
46132.77463364428,44,476870.7885246342,57001.66334908563,419869.1251755486,Retail,Urban,3,57441.10060013693
4880.378851570015,45,414348.37603362836,146347.01736642834,268001.3586672,Service,Suburban,8,37452.87419551046
10201.151689747687,34,336490.37405916944,176141.16883190238,160349.20522726706,Retail,Suburban,7,22467.382310037487
2738.750801071634,3,69663.33645138465,13123.079584623072,56540.25686676157,Retail,Rural,3,14192.296276895071
16603.851372781584,37,244334.6712935554,82541.27802044705,161793.39327310835,Manufacturing,Suburban,6,26323.575757292892
19739.52583962936,43,257992.7018749079,153650.26124427805,104342.44063062986,Service,Suburban,4,19525.99577705398
13931.777072807847,40,123950.16559903625,93709.18345397948,30240.98214505677,Retail,Urban,11,1198.8461720349223
41522.5067030205,26,49183.04323605795,57114.26280975109,-7931.219573693139,Manufacturing,Rural,5,11512.826696217904
18159.28967133267,23,390594.5789311294,47862.043020522055,342732.5359106074,Service,Urban,11,40074.485752573455
14406.258229525347,44,69797.17554095355,30646.062048693693,39151.11349225986,Service,Urban,5,3175.1014412351433
27363.4561163333,39,301202.4677752696,172140.26417197505,129062.20360329453,Manufacturing,Rural,7,21767.852741516683
7475.749136250751,15,468860.09520299366,117194.30363405342,351665.7915689403,Manufacturing,Rural,11,46863.99350144437
40208.75054732496,49,439291.54437304084,19895.06427333392,419396.4800997069,Manufacturing,Rural,5,41197.67679649741
4190.256862148655,4,146098.78563713795,79603.16309627391,66495.62254086403,Manufacturing,Suburban,11,13039.18555669501
49350.90336172561,29,427209.83240012,76708.06190699643,350501.77049312356,Manufacturing,Rural,3,47818.57594045299
38726.11608018454,22,10162.92799903981,40439.14218834528,-30276.21418930547,Retail,Rural,10,9225.333048290822
10336.426235941533,25,18667.026710496037,89923.98696707719,-71256.96025658115,Retail,Rural,5,-2033.7364794169557
773.3447976183188,13,305251.05028300383,69759.3762516616,235491.67403134223,Service,Urban,7,28658.180001542543
40865.34070851429,18,188751.12738081944,71651.72257097559,117099.40480984385,Retail,Urban,5,19751.720528592476
35489.43852045705,33,199365.8121679821,149110.17876865194,50255.63339933017,Retail,Suburban,5,19332.93540159018
36585.85481802887,16,286576.13443265244,48536.36017351328,238039.77425913914,Retail,Urban,9,35993.385788949076
38677.882160954316,45,103973.40324001168,130162.6919767943,-26189.28873678262,Manufacturing,Suburban,3,12379.141513729668
4165.2102608374735,42,113760.12182608439,116276.6766567823,-2516.554830697918,Service,Urban,6,8296.75461394454
18244.053562941495,44,247454.7776392437,115778.03990588411,131676.73773335957,Service,Rural,1,17965.779983960227
6235.518446493921,2,379584.2367284929,134286.4324976463,245297.80423084658,Service,Urban,10,29537.832927841497
43223.61958084188,35,313553.89818971796,111934.49705815253,201619.40113156545,Service,Suburban,5,31536.68968615282
31353.257277964116,42,155703.97363605106,176454.747395045,-20750.77375899395,Retail,Urban,8,11635.862671511917
16879.452230206134,34,220865.21697937138,136738.11793030065,84127.09904907073,Retail,Rural,5,25418.420595552474
3646.13833915817,30,93625.73168949923,111657.83401742068,-18032.102327921457,Manufacturing,Suburban,9,2738.0153582320177
15893.62492492528,13,46568.60902517004,166803.80845609074,-120235.19943092071,Service,Rural,11,-6222.401834129979
16596.57444032398,13,393521.05996463314,123198.58016202855,270322.4798026046,Retail,Rural,6,39219.720315679646
36615.505827734174,18,140039.83050221537,61773.128318109906,78266.70218410547,Retail,Suburban,8,24971.644957035285
32059.09483208305,32,97105.53004711162,45383.50904443139,51722.02100268023,Manufacturing,Rural,10,7547.137259644657
44417.03075752816,32,348892.8472289665,34703.91820422237,314188.9290247441,Manufacturing,Rural,8,51901.54873778161
23874.63879551649,35,312845.32040072116,180393.7664464898,132451.55395423135,Manufacturing,Urban,3,29115.65448846628
6419.915173945934,39,320262.9167465974,143476.40920062285,176786.50754597454,Retail,Rural,7,31305.908194759733
35805.616967538255,46,122158.35637484067,187788.79544204255,-65630.43906720188,Retail,Rural,7,17322.877434106165
38158.859906536425,29,123996.31389571368,122641.90211441388,1354.411781299801,Manufacturing,Rural,10,18762.396478696668
28283.221279690064,49,118193.28859496317,97313.17189150795,20880.11670345522,Service,Rural,12,12057.636535820524
38662.87540775077,29,95138.7718745243,16644.71534932342,78494.05652520088,Manufacturing,Suburban,6,22502.70722249349
24942.88202003734,44,331304.5995552116,135970.2449014758,195334.35465373582,Manufacturing,Urban,12,32593.52296380944
26375.275054408707,16,425527.7837722067,118530.70815480508,306997.0756174016,Manufacturing,Rural,7,47353.72160490036
21663.280408748207,44,364915.560141564,198090.73424958618,166824.82589197782,Manufacturing,Rural,2,36919.052802330145
1758.2467738327118,47,398125.8805426662,51635.96166753739,346489.9188751288,Retail,Suburban,9,32127.956375792455
5840.62563616857,10,208351.2302517479,108493.78428093299,99857.44597081492,Service,Rural,10,20550.06459824689
2055.7446914933453,30,330497.13973227906,131936.68034802418,198560.45938425488,Manufacturing,Suburban,10,25954.569301558513
32002.31535755713,25,183575.7578179395,130695.27907475701,52880.478743182495,Service,Urban,1,18914.228083487604
16060.62106327817,39,267497.2647646336,114452.24087493854,153045.02388969506,Service,Urban,1,24874.702389586055
25674.249212652787,20,246001.07480208253,156500.96201380898,89500.11278827355,Service,Rural,3,22344.760309925157
45424.5404593416,5,96674.70112048865,44971.3358577292,51703.36526275945,Manufacturing,Rural,3,24121.43797217592
12839.96534286931,1,199668.5925644591,146497.3040535111,53171.28851094801,Retail,Rural,1,8377.7489878739
20813.954690263672,30,482272.91498635197,125848.24142945239,356424.6735568996,Manufacturing,Suburban,12,37485.95358086638
37899.78135788091,49,131804.32628032163,179734.6467999418,-47930.320519620174,Service,Rural,7,2107.206201283392
11825.509191835312,3,75563.83077694947,170202.91561154844,-94639.08483459897,Service,Rural,4,6757.060455164156
4310.505536525253,45,215104.5045957283,66453.67263084788,148650.8319648804,Retail,Urban,10,15182.68047599719
14842.696919231517,14,397265.49057147256,58866.27837015485,338399.2122013177,Manufacturing,Rural,2,40412.706870060254
8480.453719073219,30,295252.6325921864,196422.39815122733,98830.23444095906,Service,Urban,10,20826.648474849022
46520.033790957365,4,343677.6653467398,107816.71027847503,235860.9550682648,Retail,Rural,5,33849.06207574181
40501.95878843864,18,102950.47560559183,181752.0879633152,-78801.61235772337,Service,Urban,6,13565.221107859648
31853.485947265963,37,313284.61457378353,36956.799637194024,276327.8149365895,Retail,Rural,9,35214.00382388492
43637.29921429203,25,168515.19350662213,130349.68838603399,38165.50512058815,Retail,Urban,4,17872.819389026994
40281.76780650616,48,418808.6493178361,162922.7365353143,255885.9127825218,Manufacturing,Suburban,2,42955.438205020386
9735.217914858775,1,318356.41494526074,189742.07366935714,128614.3412759036,Service,Urban,5,27899.441818221057
44681.6704252539,46,107439.576109895,70781.32749831957,36658.24861157543,Manufacturing,Urban,3,11346.344103452062
27197.44097482471,15,41662.17312360221,146371.32813519024,-104709.15501158804,Service,Urban,2,6651.730837232086
40468.2876806211,9,30890.27255064604,110068.53676272571,-79178.26421207967,Manufacturing,Rural,12,12928.525551919287
44856.51934621292,15,191990.19814856898,16822.6405829613,175167.55756560768,Service,Rural,1,20198.579811145537
16241.172011107263,49,140267.0569606136,139549.94877524395,717.1081853696669,Manufacturing,Rural,10,11688.937555159775
5947.57026412,24,326584.16049662896,139568.82885637946,187015.3316402495,Retail,Suburban,2,25344.87759788129
11782.790545826114,4,254673.57913952295,186468.32694507472,68205.25219444823,Service,Suburban,6,21996.652579464484
21641.835536999686,12,140349.44622263656,101975.92700294963,38373.51921968693,Service,Urban,8,7181.219316881858
40991.73091316341,37,83126.5111955863,49898.929538550365,33227.58165703593,Retail,Suburban,3,22160.74195348167
